,name,address,pro_review_score,sentiment,g_rating,appearance_scores,laty,longy,QuORP,yelp_sentiment,yelp_popularity,overall_score
0,Adrienne's Pizzabar,"54 Stone St, New York, NY 10004, USA",0.35511363636363635,0.8870867548276181,4.4,0.641275180595989,40.70424819999999,-74.0101127,2.8861264465236705,3.172662248117372,0.06408753419304415,19.03571407767221
1,Alligator Lounge,"600 Metropolitan Ave, Brooklyn, NY 11211, USA",0.0,0.8768963121703197,4.3,0.4352450094208652,40.713906099999996,-73.94890939999998,2.5776085271608045,2.555626409391638,0.3047619047619048,16.65789154984547
2,Cafe Amore's Restaurant,"147 Chambers St, New York, NY 10007, USA",0.625,0.8494412649068029,3.3,0.4352450094208652,40.715978299999996,-74.0096945,3.2160722459816653,3.8325538470333607,0.025423728813559324,18.8471348960829
3,Antika,"36-08 30th Ave, Astoria, NY 11103, USA",0.6107954545454546,0.012290998741984598,4.3,0.4352450094208652,40.764720000000004,-73.91722740000002,2.8045166904261096,3.00944273592225,0.08809020436927413,16.04062544344751
4,Antonio's,"318 Flatbush Ave, Brooklyn, NY 11238",1.1931818181818183,0.9730980944829236,4.4,0.7827950167967014,40.6771176,-73.97267190000002,2.065011072448581,1.5304314999671942,0.08593498551657547,19.56567053160332
5,Arcade Bakery,"220 Church St, New York, NY 10013, USA",0.22443181818181807,0.5654053286951292,4.8,0.4352450094208652,40.716910299999995,-74.00675939999998,2.1271833570927763,1.6547760692555835,0.04452690166975881,14.539520949450814
6,Archie's Bar & Pizza,"128 Central Ave, Brooklyn, NY 11221, USA",0.7869318181818181,0.8003944086394077,4.6,0.7827950167967014,40.69971810000001,-73.9284993,3.0061049257202272,3.412619206510485,0.14225941422594146,21.491611246651626
7,Armando's Pizza,"1717 Broadway, Brooklyn, NY 11207, USA",0.46875,0.8779118260384218,4.2,0.4352450094208652,40.683599799999996,-73.911137,2.013241285418746,1.4268919259075226,0.4221324215107243,16.344014295599028
8,Artichoke Basille's Pizza,"114 10th Ave, New York, NY 10011, USA",1.1079545454545454,0.4991088078415209,4.2,0.7827950167967014,40.7440625,-74.00653849999998,2.120516690426109,1.64144273592225,0.02084201750729471,17.687011612390798
9,Astoria Pizza,"32-04 30th Ave, Long Island City, NY 11102, USA",0.46875,0.8994191236769407,4.1,0.4352450094208652,40.7662657,-73.920497,1.8423348722442912,1.0850790995586133,0.014575971731448763,14.487694393066173
10,B Squared,"679 9th Ave, New York, NY 10036, USA",0.35511363636363635,0.7512870518507505,4.4,0.4352450094208652,40.76153400000001,-73.9906541,3.2126906034695875,3.825790562009206,0.5215419501133787,20.31953208111284
11,Babbalucci,"331 Lenox Ave, New York, NY 10027, USA",0.0,0.9059737089992016,4.5,0.4352450094208652,40.8089173,-73.9449478,3.0256482693734776,3.4517058938169862,0.21560283687943266,18.24578563442906
12,Bad Boys Pizza,"2313 86th St, Brooklyn, NY 11214, USA",0.46875,0.25149004134133723,4.4,0.4352450094208652,40.6005149,-73.99095720000003,3.0010572309666497,3.4025238170033303,0.15004055150040552,17.305829140894488
13,Barboncino Pizza,"781 Franklin Ave, Brooklyn, NY 11238, USA",0.5909090909090909,0.8994191236769407,4.6,0.641275180595989,40.6720708,-73.95727839999998,2.8983683528302016,3.1971460607304354,0.2753521126760564,20.65673795537845
14,Bari's Pizza Pasta,"596 Bay St, Staten Island, NY 10304, USA",0.46875,0.6167639278448227,4.3,0.4352450094208652,40.6272621,-74.07623240000002,2.620516690426109,2.64144273592225,0.15269765863590093,16.977730229919537
15,Beebe's,"38-28 27th St, Long Island City, NY 11101, USA",0.20454545454545453,0.8201358785157592,4.3,0.4352450094208652,40.7548211,-73.9358673,2.9443004742098937,3.2890103034898184,0.1522633744855967,17.927172836361038
16,Belmora,"139 E 57th St, New York, NY 10022, USA",0.46875,0.9459710281195371,3.6,0.4352450094208652,40.761057,-73.96875779999998,1.2211227510321698,-0.15734514286562895,0.014429383471797112,11.95266791737258
17,Bergen Pizza,"67 6th Ave, Brooklyn, NY 11217, USA",0.46875,0.8284156440598206,4.4,0.4352450094208652,40.6805905,-73.97438840000002,2.5494055793149983,2.4992205137000285,0.01060070671378092,17.037505633909284
18,Best Italian Pizza,"412 E 149th St, The Bronx, NY 10455, USA",0.46875,0.19566542362849745,4.2,0.4352450094208652,40.8157286,-73.91715740000002,1.852824382733802,1.106058120537635,0.013167890605216509,12.508922336255429
19,Best Pizza,"33 Havemeyer St, Brooklyn, NY 11211, USA",2.897727272727273,0.9983388707717052,4.4,1.0,40.7156098,-73.9535064,3.2545760963667028,3.909561547803437,0.3042168674698795,30.44217238649255
20,Bocce Union Square,"20 Union Square W, New York, NY 10003, USA",0.2102272727272727,0.3998578205576631,4.0,0.4352450094208652,40.7364579,-73.98991840000002,1.927183357092776,1.2547760692555832,0.011275369581558508,12.400510192410186
21,Bono Trattoria,"3658 Broadway, New York, NY 10031, USA",0.0,0.9714669004009872,4.6,0.4352450094208652,40.830192,-73.9472333,2.885971235880655,3.1723518268313415,0.13045540796963948,17.797953304680156
22,Bravo Pizza,"6 E 42nd St, New York, NY 10017, USA",0.46875,0.8160973990897586,3.9,0.4352450094208652,40.753221,-73.9806995,2.7134013058107245,2.82721196669148,0.14772727272727273,17.485915639774614
23,Broadway Pizza & Pasta,"192, 5618, W 231st St, The Bronx, NY 10463",0.46875,0.84036376382514,3.9,0.4352450094208652,40.8786831,-73.90463620000001,3.1962309761403938,3.7928713073508216,0.006944444444444444,18.82627009528613
24,Brooklyn Pizza Crew,"758 Nostrand Ave, Brooklyn, NY 11216, USA",0.4545454545454546,0.05692098764104265,4.3,0.4352450094208652,40.67280020000001,-73.9505166,2.4055166904261096,2.2114427359222497,0.04234596654668643,14.17203269667692
25,Brooklyn Pizza Market,"267 A Smith St, Brooklyn, NY 11231, USA",0.0,0.8125545224875897,4.0,0.4352450094208652,40.6827411,-73.99300939999998,2.912690603469588,3.2257905620092058,0.17477203647416414,16.947683843014804
26,Brother's Pizza,"27 E Kingsbridge Rd, The Bronx, NY 10468, USA",0.46875,0.4140550537668316,3.8,0.4352450094208652,40.8673139,-73.8963339,2.9612878986523308,3.3229851523746925,0.1858576206402293,17.161782722490322
27,Brother's Pizzeria,"750 Port Richmond Ave, Staten Island, NY 10302, USA",0.6732954545454546,0.05692098764104265,4.5,0.4352450094208652,40.62554790000001,-74.14379170000002,2.916145829498957,3.2327010140679446,0.23490976975731176,17.39317609306376
28,Brunetti,"626 Hudson St, New York, NY 10014, USA",0.35511363636363635,0.6826739913241209,4.4,0.4352450094208652,40.7382727,-74.0053786,3.0438500237594432,3.488109402588917,0.027522935779816515,18.040693827546754
29,Bruno Pizza,"204 E 13th St, New York, NY 10003, USA",0.20454545454545453,0.8725048010973935,4.5,0.4352450094208652,40.73230170000001,-73.9873417,2.5533738332832523,2.5071570216365355,0.08111239860950174,16.702583433234416
30,Cafe al Mercato,"2344 Arthur Ave, The Bronx, NY 10458, USA",0.17045454545454547,0.4140550537668316,4.5,0.4352450094208652,40.85417460000001,-73.8881983,1.7319452618546811,0.8642998787793932,0.020044998977295968,12.166759265073388
31,Cafe Viva Gourmet Pizza,"2578 Broadway, New York, NY 10025, USA",0.21306818181818185,0.8085409899021114,4.3,0.4352450094208652,40.79529210000001,-73.9707437,2.8884578668966974,3.1773250888634257,0.11599147121535182,17.61369151693136
32,Camillo,"1146 Nostrand Ave, Brooklyn, NY 11225, USA",0.35511363636363635,0.7455024816526878,4.5,0.4352450094208652,40.6596136,-73.9508036,2.672189842177082,2.7447890394241954,0.3609550561797753,18.028665024194073
33,Campania,"9824 4th Ave, Brooklyn, NY 11209, USA",0.21306818181818185,0.4817677237248465,4.7,0.4352450094208652,40.6136256,-74.03334009999998,2.7676595475689663,2.9357284502079635,0.09905660377358493,16.559772998427206
34,Caruso's,"150 Smith St, Brooklyn, NY 11201, USA",0.46875,0.9378085020904257,3.6,0.4352450094208652,40.6866378,-73.99079309999998,2.264412794322213,1.9292349437144576,0.20361392684001764,16.147249120905062
35,Celeste,"502 Amsterdam Ave, New York, NY 10024, USA",0.20454545454545453,0.9011409389020356,4.4,0.4352450094208652,40.7866992,-73.9760929,1.8642203941298128,1.1288501433296574,0.014594594594594596,14.076901397566585
36,Champion Pizza,"187 Bedford Ave, Brooklyn, NY 11211, USA",0.46875,0.7512870518507505,4.3,0.4352450094208652,40.717586600000004,-73.95776120000002,2.3501718628399018,2.100753080749836,0.053005686433793664,16.136016788779273
37,Cheesy Pizza,"5023 2640, Broadway, New York, 10025, United States",0.46875,0.6070474472135611,3.9,0.4352450094208652,40.797213,-73.96958199999997,2.712872711368518,2.8261547778070666,0.04760717846460618,16.556555420810298
38,Ciccio’s Pizza,"207 Avenue U, Brooklyn, NY 11223, USA",0.35511363636363635,0.7207295355562153,4.4,0.4352450094208652,40.59685089999999,-73.976311,2.8738500237594424,3.148109402588916,0.12274959083469722,17.84554042540768
39,Circa Brewing Co.,"141 Lawrence St, Brooklyn, NY 11201, USA",0.0,0.9190036874851816,4.4,0.4352450094208652,40.69166,-73.986036,2.655883996845699,2.712177348761429,0.6033140347374726,18.05383420961389
40,Como Pizza,"4035 Broadway, New York, NY 10032, USA",0.46875,0.6530458206957587,4.5,0.4352450094208652,40.8422945,-73.93951820000002,2.563223966229832,2.526857287529695,0.434878587196468,17.932594159467076
41,Corner Slice,"600 11th Ave, New York, NY 10036, USA",0.7102272727272727,0.9427713793782176,4.4,0.641275180595989,40.7623377,-73.99675789999998,2.9384323231804514,3.2772740014309347,0.3221422861710632,21.22534368464772
42,Dani's House of Pizza,"81-28 Lefferts Blvd, Kew Gardens, NY 11415, USA",0.8948863636363636,0.9873116638690704,4.4,0.7827950167967014,40.708971500000004,-73.8305343,2.6540754665935813,2.708560288257193,0.3106553276638319,21.44931128207466
43,Daro's Pizza & Chicken,"68-14 Roosevelt Ave, Woodside, NY 11377, USA",0.46875,0.9307489358093428,4.1,0.4352450094208652,40.74610850000001,-73.89688509999998,2.7653201838758914,2.9310497228218138,0.5955786736020806,19.55514052578588
44,Delizia 73,"1374 1st Avenue, New York, NY 10021, USA",0.46875,0.4686109388407458,4.5,0.4352450094208652,40.7685878,-73.95502479999998,2.6036985086079283,2.6078063722858857,0.17145640526059425,16.730683866417753
45,Dellarocco's,"214 Hicks St, Brooklyn Heights, NY 11201, USA",0.0,0.6615618820885759,4.5,0.4352450094208652,40.6950091,-73.99610820000002,2.6585899081525066,2.717589171375044,0.4405772495755518,16.90276912751214
46,Delmar Pizzeria,"1668 Sheepshead Bay Rd, Brooklyn, NY 11235, USA",0.35511363636363635,0.9509626358150248,4.4,0.4352450094208652,40.5861716,-73.952342,1.8026967852128395,1.0058029254957097,0.047024738132382435,14.560028833164052
47,Denino's Pizzeria,"524 Port Richmond Ave, Staten Island, NY 10302, USA",1.9857954545454544,0.9942860792307372,4.6,0.9488788467236094,40.630206799999996,-74.14024789999998,2.3357503352859226,2.0719100256418757,0.14425345466801484,23.993953542030305
48,Di Fara Pizza,"1424 Avenue J, Brooklyn, NY 11230, USA",4.019886363636363,0.9998153391608756,4.3,0.7827950167967009,40.6249664,-73.96152590000001,2.371260492079002,2.1429303392280348,0.1662087912087912,29.33863028778393
49,Don Antonio,"309 W 50th St, New York, NY 10019, USA",0.4460227272727272,0.9362169983726294,4.4,0.641275180595989,40.7627178,-73.98670760000002,2.644706413746268,2.6898221825625663,0.05093617877994765,18.571407900074327
50,Dona Bella Pizza,"154 Church St, New York, NY 10007, USA",0.46875,0.9509626358150248,3.9,0.4352450094208652,40.7151451,-74.0079738,2.2779309384472177,1.9562712319644664,0.09416149068322982,16.20566771804601
51,Double Zero,"65 2nd Ave, New York, NY 10003, USA",0.21306818181818185,0.7207295355562153,4.4,0.4352450094208652,40.726083,-73.989775,1.6227808413695055,0.6459710378090424,0.024935309338979063,12.747219078919382
52,La Pizza & La Pasta at Eataly NYC Downtown,"101 Liberty St 3rd floor, New York, NY 10281, USA",0.18750000000000008,0.26726005035461103,4.4,0.4352450094208652,40.710064700000004,-74.01197579999999,3.0189396294942097,3.438288614058451,0.09153543307086616,16.396462207492153
53,Emily - Brooklyn,"919 Fulton St, Brooklyn, NY 11238, USA",3.75,0.9959427110495224,4.5,0.882222139159497,40.683555,-73.9663928,1.8385469934564127,1.0775033419828564,0.09924812030075188,27.049682544088782
54,Emmett's,"50 Macdougal St, New York, NY 10012, USA",0.0,0.84036376382514,4.6,0.4352450094208652,40.7273153,-74.0024806,3.0083427773826314,3.4170949098352925,0.006108897742363878,17.459904759527706
55,Emmy Squared - Brooklyn,"364 Grand St, Brooklyn, NY 11211, USA",3.2244318181818183,0.9961268947584108,4.5,0.9873894038945904,40.71216939999999,-73.9557056,1.6978301232619306,0.7960696015938922,0.10464662241311988,25.417886069357692
56,Espresso Pizzeria,"9403 5th Ave, Brooklyn, NY 11209, USA",0.46875,0.970380451032472,4.8,0.4352450094208652,40.6162684,-74.030345,2.2981490292134046,1.996707413496841,0.8099785616838823,19.38213569438196
57,Family Pizza,"720 Flatbush Ave, Brooklyn, NY 11225, USA",0.46875,0.8494412649068029,4.5,0.4352450094208652,40.6558571,-73.9601721,2.5021833570927763,2.4047760692555835,0.05016722408026756,17.154004270771914
58,Famous Amadeus,"840 8th Ave, New York, NY 10019, USA",0.46875,0.6444653630060316,4.2,0.4352450094208652,40.76253120000001,-73.98562,2.489784983109036,2.379979321288104,0.0985576923076923,16.340853660808786
59,Forcella,"485 Lorimer St, Brooklyn, NY 11211, USA",0.35511363636363635,0.7207295355562153,4.2,0.4352450094208652,40.7114916,-73.9492046,2.737439767349186,2.8752888897684032,0.003015541637671074,16.8089023803807
60,Fornino At Pier 6,"Brooklyn Bridge Park Pier 6, Bridge Park Drive, Brooklyn, NY 11201, USA",0.0,0.9307489358093428,4.3,0.641275180595989,40.69270039999999,-74.00155099999998,2.7917384098831235,2.9838861748362784,0.047866580030322715,17.62233872079641
61,Fortina,"445 Albee Square W, Brooklyn, NY 11201, USA",0.35511363636363635,0.4944753038343491,4.1,0.4352450094208652,40.691105799999995,-73.98317569999998,2.2778351261803,1.95607960743063,0.0733306022122081,14.632468622847615
62,Franklin Pizza,"109 Franklin St, Brooklyn, NY 11222, USA",0.46875,0.8045406954225135,3.9,0.4352450094208652,40.729648299999994,-73.957775,2.7517501256962418,2.9039096064625154,0.3766557880591284,18.272251944367767
63,Fausto,"348 Flatbush Ave, Brooklyn, NY 11238, USA",0.21306818181818185,0.7775319040998784,4.6,0.4352450094208652,40.67599910000001,-73.97190719999998,2.762303371530604,2.9250160981312368,0.3562885802469136,18.10001485283801
64,Front Street Pizza,"80 Front St, Brooklyn, NY 11201, USA",0.5255681818181818,0.84036376382514,4.3,0.4352450094208652,40.702346,-73.98920109999997,2.3807049749449383,2.1618193049599066,0.3854061681112679,17.677768807557033
65,Full Moon,"600 E 187th St, The Bronx, NY 10458, USA",0.17045454545454547,0.8085409899021114,4.5,0.4352450094208652,40.8553028,-73.88759139999998,3.0545316530196267,3.5094726611092826,0.8312603648424544,20.41291554015201
66,Georgio's Pizzeria,"20 Beaver St, New York, NY 10004, USA",0.46875,0.2968712034836457,4.1,0.4352450094208652,40.704830799999996,-74.0123163,2.797218027721801,2.9948454105136326,0.3588376432951213,17.054926691348587
67,Gianni's Pizzeria,"81-13 Northern Blvd, Jackson Heights, NY 11372, USA",0.46875,0.7899332511793606,4.0,0.4352450094208652,40.7557575,-73.88575569999998,3.1895021976724864,3.779413750415004,0.1623529411764706,19.217653322907182
68,Giardini Pizza,"363 Smith St, Brooklyn, NY 11231, USA",0.46875,0.8852126285010821,4.1,0.4352450094208652,40.6795626,-73.99514659999998,2.884397287441036,3.169203929952101,0.12625628140703518,18.42733428975396
69,Gino's Pizza,"8635 Broadway, Queens, NY 11373, USA",0.46875,0.08073052412648166,4.4,0.4352450094208652,40.7375017,-73.8769781,2.2732487859168256,1.9469069269036816,0.2662429378531073,14.59482819063364
70,Giovanni,"4559 47th St, Woodside, NY 11377, USA",0.46875,0.7512870518507505,3.6,0.4352450094208652,40.7411629,-73.9179587,2.8175906909931636,3.035590737056359,0.7325025960539979,19.1104734161763
71,Giuseppina's Brick Oven Pizza,"691 6th Ave, Brooklyn, NY 11215, USA",0.96875,0.9842021191397948,4.6,0.7827950167967014,40.660397700000004,-73.9905555,3.4428296155961773,4.2860685862623855,0.2754528419737664,24.51660562141663
72,Gloria Pizza,"108-22 Queens Blvd, Forest Hills, NY 11375, USA",0.46875,0.8978713664425363,4.1,0.4352450094208652,40.720763,-73.84326290000001,2.9201320750414945,3.24067350515302,0.08750525872949096,18.474129192147288
73,Golden Pizza,"504 E 138th St, The Bronx, NY 10454, USA",0.46875,0.9326867720888112,4.4,0.4352450094208652,40.807466,-73.91947629999999,1.2160722459816649,-0.16744615296663934,0.0023584905660377358,12.658925702886355
74,Gran Torino,"131 Berry St, Brooklyn, NY 11249, USA",0.0,0.4140550537668316,4.4,0.4352450094208652,40.7183171,-73.9589666,2.9241982824659107,3.2488059200018524,0.08192378235174241,15.913917550972393
75,Grimaldi's Pizzeria,"1 Front St, Brooklyn, NY 11201, USA",0.12784090909090912,0.9772749950788348,4.1,0.7827950167967014,40.70261,-73.9932413,2.490926047151256,2.3822614493725425,0.17248335686907404,17.83252603163518
76,Gruppo Thin Crust Pizza,"98 Avenue B, New York, NY 10009, USA",0.0,0.6853979935435265,4.5,0.4352450094208652,40.7247367,-73.98164849999998,2.6649026553383903,2.730214665746812,0.055542021924482335,15.841266394074376
77,Highline Pizzeria,"503 W 28th St, New York, NY 10001, USA",0.46875,0.4686109388407458,4.2,0.4352450094208652,40.751094099999996,-74.00223059999998,2.9605166904261093,3.3214427359222496,0.7289293849658315,19.3519664418971
78,Houdini Kitchen Laboratory,"1563 Decatur St, Ridgewood, NY 11385, USA",0.5085227272727272,0.9557925722764125,4.4,0.641275180595989,40.6941557,-73.90231480000001,2.44904715637593,2.298503667821892,1.1506284367635506,21.431903994940306
79,The House of Pizza & Calzone,"132 Union St, Brooklyn, NY 11231, USA",0.5823863636363636,0.0,4.6,0.4352450094208652,40.683972,-74.0022625,2.9661546726219554,3.3327187003139414,0.3562367864693446,17.588697858479946
80,Industry Kitchen,"70 South St, New York, NY 10038, USA",0.0,0.8677919051766445,4.2,0.4352450094208652,40.7052583,-74.00546870000002,3.0134578668966974,3.4273250888634257,0.058465608465608464,17.317162129051184
81,Italy Pizza,"800 Manhattan Ave, Brooklyn, NY 11222, USA",0.46875,0.4140550537668316,4.6,0.4352450094208652,40.7278729,-73.95286170000001,3.1801541526617587,3.760717660393549,0.09318693693693694,18.449802560413445
82,Ivana's Pizzeria,"2373 Arthur Ave, The Bronx, NY 10458, USA",0.46875,0.6776750037148436,4.5,0.4352450094208652,40.855060200000004,-73.88826399999998,3.1488887834493653,3.6981869219687615,0.059147180192572216,18.929114347781013
83,J & V Pizzeria,"6322 18th Ave, Brooklyn, NY 11204",0.35511363636363635,0.6167639278448227,4.1,0.4352450094208652,40.6199406,-73.9896832,2.9707240269492354,3.341857408968502,0.2729053318824809,18.023169836581125
84,Joe & Pat's,"1758 Victory Blvd, Staten Island, NY 10314",3.1875,0.9955744117456238,4.3,0.9873894038945904,40.6129244,-74.12211490000001,2.9394423102608203,3.2792939755916715,0.10410841041084104,29.44946118426315
85,Joe's Pizza,"7 Carmine St, New York, NY 10014, USA",3.5142045454545463,0.9970481539282194,4.5,0.9488788467236094,40.730659700000004,-74.00217070000002,2.0914559169454465,1.5833211889609242,0.0384125636672326,27.314913901656016
86,John's of Bleecker St.,"278 Bleecker St, New York, NY 10014, USA",0.7102272727272727,0.9268813194252618,4.6,0.641275180595989,40.73161870000001,-74.00344679999998,3.040445005838297,3.4812993667466228,0.058935361216730035,20.945097119228308
87,Juliana's,"19 Old Fulton St, Brooklyn, NY 11201, USA",1.4630681818181817,0.9362169983726294,4.6,0.9488788467236094,40.7027359,-73.99344789999998,1.8636416904261093,1.12769273592225,0.027783807249837204,20.249775282010287
88,Kesté Pizza & Vino,"271 Bleecker St, New York, NY 10014, USA",2.0568181818181817,0.9887772425472084,4.5,0.9873894038945904,40.731534499999995,-74.00296259999998,2.7718803267897463,2.9441700086495226,0.1892880189288019,25.906096105527574
89,King's Pizza,"1688 East 16th Street, Brooklyn, NY 11229, USA",0.46875,0.6354142731854951,4.0,0.4352450094208652,40.6085223,-73.95747589999998,3.2905166904261094,3.9814427359222497,0.2624671916010499,19.407989864837
90,Kingsbridge Social Club,"3625 Kingsbridge Ave, The Bronx, NY 10463, USA",0.17045454545454547,0.4686109388407458,4.7,0.4352450094208652,40.8845734,-73.90200659999998,1.8698190160075048,1.1400473870850405,0.022068257634077496,13.019054835800354
91,Kiss My Slice,"274 W 40th St, New York, NY 10018, USA",0.46875,0.6167639278448227,4.4,0.4352450094208652,40.7557265,-73.99051519999998,2.2839476527692057,1.9683046606084424,0.4050847457627119,16.656899859500808
92,Korner Pizza,"226 Church Ave # 1, Brooklyn, NY 11218, USA",0.46875,0.9531072603847358,4.2,0.4352450094208652,40.6433681,-73.9775507,3.082391690426109,3.56519273592225,0.1045751633986928,19.358955241827648
93,L&B Spumoni Gardens,"2725 86th St, Brooklyn, NY 11223",4.769886363636363,0.9981544144925436,4.6,0.7827950167967009,40.5947441,-73.9813041,2.2800819078174137,1.9605731707048584,0.03707435019141648,31.177119145811247
94,L'Amico,"849 6th Ave, New York, NY 10001, USA",0.25568181818181823,0.7395966394655525,4.2,0.4352450094208652,40.7471776,-73.98994669999998,2.6578816443128024,2.716172643695636,0.429055963821368,17.56687607348701
95,Layla Jones,"214 Court St, Brooklyn, NY 11201, USA",0.5681818181818182,0.8602532147367029,4.2,0.4352450094208652,40.6866631,-73.9940562,2.571043006215583,2.5424953675011968,0.2074235807860262,17.897513416854167
96,Lee's Tavern,"60 Hancock St, Staten Island, NY 10305, USA",1.40625,0.9843848525442936,4.6,0.7827950167967014,40.58876420000001,-74.09517389999998,2.9127689426783614,3.2259472404267537,0.24943820224719104,23.896397547238045
97,Levante,"26-21 Jackson Ave, Long Island City, NY 11101, USA",0.0,0.8272759214389849,4.5,0.4352450094208652,40.7476347,-73.94175209999999,2.3748024047118244,2.1500141644936788,0.014857489387507581,15.129495702956845
98,Lido Harlem Restaurant,"2168 Frederick Douglass Blvd, New York, NY 10026, USA",0.2102272727272727,0.3573573807990669,4.4,0.4352450094208652,40.8048926,-73.9546798,2.660516690426109,2.72144273592225,0.039782386943216584,15.325196591886034
99,Lil' Frankie's,"19 1st Avenue, New York, NY 10003, USA",0.5965909090909091,0.8629286148124548,4.3,0.641275180595989,40.723605600000006,-73.98841440000002,2.404637104348969,2.2096835637679693,0.2951957789502916,18.595783512468838
100,Lillian Pizzeria,"9601 69th Ave, Forest Hills, NY 11375, USA",0.2414772727272727,0.5867560524242568,4.4,0.4352450094208652,40.7169672,-73.8523108,2.9975773933015093,3.3955641416730487,0.2029173419773096,17.776259931927786
101,L'industrie pizzeria,"254 S 2nd St, Brooklyn, NY 11211, USA",0.5511363636363635,0.980005489887236,4.7,0.641275180595989,40.711583600000004,-73.9578707,2.660516690426109,2.72144273592225,0.0033285782215882074,19.230627450413426
102,Lions & Tigers & Squares Detroit Pizza,"268 W 23rd St, New York, NY 10011, USA",0.35511363636363635,0.3266617061539126,4.5,0.641275180595989,40.74505740000001,-73.99833790000002,2.8579689197254723,3.1163471945209755,0.1462505822077317,17.602376731901472
103,Little Italy Pizza,"2841, 11 Park Pl, New York, NY 10007, United States",0.46875,0.8944382652742096,4.3,0.4352450094208652,40.713063399999996,-74.0082771,2.5862011754326284,2.572811705935288,0.1607966457023061,17.71494590092973
104,Little luzzo's Ciro Adamo,"119 E 96th St, New York, NY 10128, USA",0.35511363636363635,0.9335684952031752,4.3,0.4352450094208652,40.786408200000004,-73.95152689999998,2.9241982824659107,3.2488059200018524,0.08192378235174241,18.437798784372333
105,Lombardi's,"32 Spring St, New York, NY 10012, USA",1.088068181818182,0.9727354492340524,4.1,0.7827950167967014,40.7216368,-73.99572049999998,2.064557094466513,1.5295235440030581,0.021059349074664963,18.753025854502827
106,Loring Place,"21 W 8th St, New York, NY 10011, USA",0.35511363636363635,0.6530458206957587,4.6,0.4352450094208652,40.7329499,-73.9975869,2.8653359675345427,3.1310812901391167,0.3341384863123993,18.446856770472266
107,Louie & Ernie's Pizza,"1300 Crosby Ave, The Bronx, NY 10461, USA",1.5056818181818181,0.9915291103449072,4.7,0.8822221391594968,40.838259,-73.8286389,2.449990374636636,2.3003901043433017,0.0187192118226601,22.401952305216884
108,Louie's,"8134 Baxter Ave # 1, Elmhurst, NY 11373, USA",1.056818181818182,0.9935503884879374,4.7,0.641275180595989,40.7459936,-73.88355659999998,3.0679240978335174,3.5362575507370653,0.11031664964249234,22.53519774094963
109,Lucali,"575 Henry St, Brooklyn, NY 11231, USA",3.7954545454545454,0.9977855700984825,4.5,0.882222139159497,40.6818032,-74.00030869999998,2.7482359886717243,2.8968813324134777,0.014948859166011016,30.12258845744865
110,Luigi's Gourmet Pizza,"936 8th Ave, New York, NY 10019, USA",0.46875,0.5543660009727208,4.1,0.4352450094208652,40.76556420000001,-73.98340470000002,2.2994055793149983,1.999220513700028,0.17335473515248795,15.528618789964106
111,Luigi's Pizza,"686 5th Ave, Brooklyn, NY 11215, USA",0.8238636363636364,0.9741865709978512,4.6,0.641275180595989,40.661643700000006,-73.9934135,2.5745216044310237,2.5494525639320766,0.099365234375,19.918479679404523
112,Luigi's,"1701 1st Avenue, New York, NY 10128, USA",0.46875,0.7459580749268995,4.1,0.4352450094208652,40.778414,-73.9486109,2.0105166904261096,1.42144273592225,0.03234152652005175,14.669244274818222
